pr_id,n_comments,id,merged
2756921963,3,2756921963,0
2757103560,5,2757103560,0
2757124156,4,2757124156,0
2757125491,4,2757125491,0
2757179026,4,2757179026,0
2757674020,2,2757674020,1
2757829316,2,2757829316,0
2758172742,2,2758172742,1
2758200405,2,2758200405,0
2758379503,2,2758379503,0
2758578416,2,2758578416,1
2758595312,2,2758595312,1
2758742372,2,2758742372,1
2759596477,2,2759596477,1
2759620798,2,2759620798,1
2759788051,2,2759788051,1
2759847657,3,2759847657,0
2760044965,2,2760044965,0
2760115428,4,2760115428,0
2760243902,2,2760243902,1
2760266883,5,2760266883,0
2760297589,1,2760297589,0
2760305985,4,2760305985,0
2760327496,4,2760327496,1
2761264439,2,2761264439,1
2761288801,3,2761288801,0
2761311271,2,2761311271,1
2761312980,4,2761312980,0
2761325861,2,2761325861,1
2761376844,2,2761376844,1
2761404412,2,2761404412,1
2761411256,1,2761411256,0
2761413721,2,2761413721,0
2761443934,2,2761443934,0
2761455933,2,2761455933,1
2761577144,3,2761577144,1
2761639494,4,2761639494,1
2761977984,2,2761977984,1
2762054930,1,2762054930,0
2762078403,3,2762078403,1
2762228850,3,2762228850,0
2762247476,3,2762247476,1
2762297369,2,2762297369,0
2762301500,3,2762301500,0
2762310020,2,2762310020,0
2763242692,2,2763242692,1
2763308355,3,2763308355,0
2763395657,2,2763395657,1
2763430169,5,2763430169,0
2763461870,2,2763461870,0
2763610953,3,2763610953,0
2763620087,2,2763620087,1
2763678225,3,2763678225,0
2763878383,2,2763878383,1
2763926843,2,2763926843,0
2763955999,4,2763955999,0
2764167191,3,2764167191,1
2764211776,3,2764211776,1
2764665933,2,2764665933,0
2765532800,4,2765532800,0
2765835144,1,2765835144,0
2765877627,1,2765877627,0
2765918459,1,2765918459,1
2766353261,5,2766353261,0
2766896431,1,2766896431,0
2767565114,2,2767565114,1
2767652233,3,2767652233,1
2767735199,2,2767735199,0
2767796873,3,2767796873,0
2767838200,1,2767838200,0
2767878178,4,2767878178,0
2767960820,1,2767960820,0
2768057346,2,2768057346,1
2768057378,2,2768057378,1
2768132850,3,2768132850,1
2768257624,2,2768257624,1
2768454422,1,2768454422,0
2768656574,2,2768656574,1
2768662452,2,2768662452,1
2768706725,2,2768706725,1
2768801424,7,2768801424,0
2768814420,2,2768814420,1
2768861546,2,2768861546,0
2768952674,11,2768952674,1
2768962384,2,2768962384,1
2768982424,1,2768982424,1
2769398002,1,2769398002,0
2769546631,1,2769546631,0
2769559533,1,2769559533,1
2769663445,2,2769663445,1
2769791644,3,2769791644,0
2769930216,3,2769930216,0
2769964943,3,2769964943,0
2769973551,3,2769973551,0
2770095837,1,2770095837,0
2770590659,3,2770590659,0
2770724281,4,2770724281,1
2770730384,3,2770730384,0
2770799696,4,2770799696,1
2770944230,5,2770944230,0
2771182139,1,2771182139,0
